,entity_name,filename,entity_type,snippet
44,Assumtie,NL-HaNA_1.04.02_6847_0031.txt,GPE,"s
die van Assumtie Substitut"
45,onaangezien,NL-HaNA_1.04.02_6847_0031.txt,GPE,"mitsdien, onaangezien, mijne ge"
46,Ceratoris adlites,NL-HaNA_1.04.02_6847_0031.txt,ORG,sm: en E: Ceratoris adlites Zoo hier 
47,nemene,NL-HaNA_1.04.02_6847_0031.txt,GPE,"anders te nemene moeite
re"
48,Executeurs,NL-HaNA_1.04.02_6847_0031.txt,GPE,"
maar tot Executeurs over zijn"
49,"hi
",NL-HaNA_1.04.02_6847_0031.txt,PERSON,"stitueerd hi
met alle E"
50,Amsterdam,NL-HaNA_1.04.02_6847_0031.txt,GPE,"ter kamer
Amsterdam waar voor"
51,afpiermeerde uytge,NL-HaNA_1.04.02_6847_0031.txt,PERSON,"testateur afpiermeerde uytge„
vaeren t"
52,beede,NL-HaNA_1.04.02_6847_0031.txt,GPE," zijn met beede, dat haar"
53,denit,NL-HaNA_1.04.02_6847_0031.txt,ORG,"oot agtb: denit„
keering "
54,intkragte,NL-HaNA_1.04.02_6847_0031.txt,GPE,"en aan
de intkragte deses daa"
55,"Geregtigde
",NL-HaNA_1.04.02_6847_0031.txt,PERSON," daar toe Geregtigde
verklaarde"
56,Zule Reverratoir,NL-HaNA_1.04.02_6847_0031.txt,PERSON," de clan„
Zule Reverratoir, en uijt "
57,kragh,NL-HaNA_1.04.02_6847_0031.txt,PERSON,", en uijt kragh van dien "
58,liffengenen,NL-HaNA_1.04.02_6847_0031.txt,PERSON,f te doen liffengenen te Emanci
59,Emancipeeren,NL-HaNA_1.04.02_6847_0031.txt,PERSON,ngenen te Emancipeeren veranderi
60,Executeuren,NL-HaNA_1.04.02_6847_0031.txt,GPE,linge van Executeuren te maken 
61,margine oft,NL-HaNA_1.04.02_6847_0031.txt,PERSON,"’t zij in margine oft op de
rug"
62,memorien,NL-HaNA_1.04.02_6847_0031.txt,PERSON,"ij aparte memorien zal
"
63,Heeden,NL-HaNA_1.04.02_6847_0033.txt,PERSON,"„
„
„

op Heeden den 27: I"
64,Pieter Willem lam,NL-HaNA_1.04.02_6847_0033.txt,PERSON,"r mij M:r Pieter Willem lam,
wen nots"
65,stad Batavia,NL-HaNA_1.04.02_6847_0033.txt,GPE,uijten de stad Batavia resideere
66,nederlands india,NL-HaNA_1.04.02_6847_0033.txt,GPE,"inair van nederlands india
en presid"
67,heeren welsmeesteren,NL-HaNA_1.04.02_6847_0033.txt,PERSON,ident van heeren welsmeesteren deser ste
68,deser,NL-HaNA_1.04.02_6847_0033.txt,GPE,meesteren deser stede en 
69,Egtelieden,NL-HaNA_1.04.02_6847_0033.txt,PERSON,e Lahaije Egtelieden woonende 
70,Jaccaha,NL-HaNA_1.04.02_6847_0033.txt,GPE,"onende op Jaccaha
buijten d"
71,Exhbeerde,NL-HaNA_1.04.02_6847_0033.txt,GPE,mij nots: Exhbeerde en ter ha
72,"Eehoggde
voor Eanderde",NL-HaNA_1.04.02_6847_0033.txt,PERSON,"zijn Ed:s Eehoggde
voor Eanderde hand gesz"
73,gesz,NL-HaNA_1.04.02_6847_0033.txt,GPE,erde hand gesz: en door 
74,Eijgenhandig,NL-HaNA_1.04.02_6847_0033.txt,PERSON,"w wel Ed: Eijgenhandig on
derbek"
75,Testament,NL-HaNA_1.04.02_6847_0033.txt,PERSON,n wel Ed: Testament laastenng
76,Codicil zoo als 't,NL-HaNA_1.04.02_6847_0033.txt,PERSON,n wel als Codicil zoo als 't best zal 
77,"roode
",NL-HaNA_1.04.02_6847_0033.txt,ORG,"n alle in roode
lacque ged"
78,gestr,NL-HaNA_1.04.02_6847_0033.txt,PERSON,"
wel Ed:e gestr heer en v"
79,Jacob Pieterszen,NL-HaNA_1.04.02_6847_0033.txt,PERSON,"nwoordig„
Jacob Pieterszen Fredricus"
80,Schrender,NL-HaNA_1.04.02_6847_0033.txt,PERSON,extroijda Schrender gebooren 
81,"Clam
tond",NL-HaNA_1.04.02_6847_0033.txt,ORG,"ahaije
en Clam
tond /getekend"
82,/getekend/ I,NL-HaNA_1.04.02_6847_0033.txt,PERSON,"Clam
tond /getekend/ I:b Pieters"
83,"gerritsz
",NL-HaNA_1.04.02_6847_0033.txt,PERSON,"zen Fr: C:gerritsz
ferzyde
la"
84,lager/ P:,NL-HaNA_1.04.02_6847_0033.txt,ORG,"z
ferzyde
lager/ P: W: lammen"
85,lammens nots,NL-HaNA_1.04.02_6847_0033.txt,PERSON,er/ P: W: lammens nots en heb ik
86,gaaff,NL-HaNA_1.04.02_6847_0033.txt,GPE,xamineerd gaaff en ongeca
87,eele Testament,NL-HaNA_1.04.02_6847_0033.txt,PERSON,"les mate„
eele Testament die het s"
88,Jan Schrender,NL-HaNA_1.04.02_6847_0033.txt,PERSON,gebekende Jan Schrender raad ord 
89,Clara geertruyda,NL-HaNA_1.04.02_6847_0033.txt,PERSON," india
en Clara geertruyda De lahaij"
90,Egtelieden,NL-HaNA_1.04.02_6847_0033.txt,PERSON,"e lahaije Egtelieden, uyt over"
91,Eijndigen,NL-HaNA_1.04.02_6847_0033.txt,PERSON, staat te Eijndigen te raade 
92,tekeeren,NL-HaNA_1.04.02_6847_0029.txt,GPE,cken uijt tekeeren de legiti
93,Erfgenaam,NL-HaNA_1.04.02_6847_0029.txt,PERSON,tot hunne Erfgenaam of Erfgen
94,Erfgenamen,NL-HaNA_1.04.02_6847_0029.txt,GPE,genaam of Erfgenamen bij desen
95,Jnt,NL-HaNA_1.04.02_6847_0029.txt,ORG,te dat de Jnt=r tes tad
96,sestateur dit sterffelyke,NL-HaNA_1.04.02_6847_0029.txt,PERSON, den peer sestateur dit sterffelyke mogte ver
97,natelaten,NL-HaNA_1.04.02_6847_0029.txt,PERSON, kinderen natelaten zo verkla
98,tihe,NL-HaNA_1.04.02_6847_0029.txt,PERSON,"t
regt en tihe als voore"
99,Juff,NL-HaNA_1.04.02_6847_0029.txt,ORG,ar moeden Juff=mo sersan
100,mo sersanna,NL-HaNA_1.04.02_6847_0029.txt,ORG,"eden Juff=mo sersanna
van Macca"
101,Bensamen,NL-HaNA_1.04.02_6847_0029.txt,GPE,"eters dE: Bensamen
Grebel ve"
102,Grebel,NL-HaNA_1.04.02_6847_0029.txt,ORG," Bensamen
Grebel verklaare"
103,testatent,NL-HaNA_1.04.02_6847_0029.txt,PERSON, den heer testatent geen onde
104,Langstleevende van huw beyde ook tot Executeur,NL-HaNA_1.04.02_6847_0029.txt,ORG,teuren de Langstleevende van huw beyde ook tot Executeur of Execut
105,Executrice,NL-HaNA_1.04.02_6847_0029.txt,ORG,"cuteur of Executrice
dezer tes"
106,fvoog,NL-HaNA_1.04.02_6847_0029.txt,PERSON,"tem voogd fvoog„
derse ov"
107,natelatene,NL-HaNA_1.04.02_6847_0029.txt,PERSON,ver hunne natelatene onmondige
108,anmhoriseijt,NL-HaNA_1.04.02_6847_0029.txt,PERSON,t magt en anmhoriseijt als daar 
109,vergunts,NL-HaNA_1.04.02_6847_0029.txt,PERSON,"an
werden vergunts speciaal "
110,Subssihihe,NL-HaNA_1.04.02_6847_0029.txt,PERSON,aisnintie Subssihihe en surrog
111,Collegie van heeren,NL-HaNA_1.04.02_6847_0029.txt,ORG,"e 2 berw: Collegie van heeren weesm:
de"
112,snoatsr aalites,NL-HaNA_1.04.02_6847_0029.txt,PERSON,e den b„e snoatsr aalites en alle a
113,zoo heep,NL-HaNA_1.04.02_6847_0029.txt,PERSON," benoonen
zoo heep als baers"
114,prea,NL-HaNA_1.04.02_6847_0029.txt,PERSON,taande de prea arrntenli
115,Executeurs,NL-HaNA_1.04.02_6847_0029.txt,GPE,"
maar tot Executeurs over des "
116,hondene,NL-HaNA_1.04.02_6847_0029.txt,GPE,e goed te hondene gagie ver
117,Eligeerden,NL-HaNA_1.04.02_6847_0029.txt,PERSON,"er„
zoekt Eligeerden Constitre"
118,groozagst,NL-HaNA_1.04.02_6847_0029.txt,GPE,"g d Edele groozagst: heeren
b"
119,geoctroijeerde,NL-HaNA_1.04.02_6847_0029.txt,GPE,bberen de geoctroijeerde orst indi
120,indische Compagnie,NL-HaNA_1.04.02_6847_0029.txt,ORG,erde orst indische Compagnie ter kimer
121,denont,NL-HaNA_1.04.02_6847_0029.txt,GPE,"e die tot denont„
fangst z"
122,wesen,NL-HaNA_1.04.02_6847_0029.txt,PERSON,angst zal wesen gequalifi
123,intereeren,NL-HaNA_1.04.02_6847_0029.txt,GPE,"t inne te intereeren
6
de Clau"
124,Clausile Reservatoir,NL-HaNA_1.04.02_6847_0029.txt,PERSON,"eren
6
de Clausile Reservatoir en uijt k"
125,Facultijt omme dese,NL-HaNA_1.04.02_6847_0029.txt,PERSON,e mogt en Facultijt omme dese hare Test
126,zijse,NL-HaNA_1.04.02_6847_0029.txt,GPE,deren als zijse rade werd
127,rade,NL-HaNA_1.04.02_6847_0029.txt,ORG,als zijse rade werden mo
128,krogt,NL-HaNA_1.04.02_6847_0029.txt,PERSON, zodanige krogt en waarde
129,inne,NL-HaNA_1.04.02_6847_0029.txt,PERSON, het hier inne woordelij
130,vtaat,NL-HaNA_1.04.02_6847_0029.txt,GPE,nt voorsz vtaat de testat
131,duijdelijk,NL-HaNA_1.04.02_6847_0029.txt,GPE,stateuren duijdelijk voorgeles
132,Joseph Plache mijne cbercq,NL-HaNA_1.04.02_6847_0029.txt,PERSON,"lsoork en Joseph Plache mijne cbercq:
als getu"
133,nomineeren,NL-HaNA_1.04.02_6847_0017.txt,GPE," nots:
te nomineeren en instit"
134,institueeren,NL-HaNA_1.04.02_6847_0017.txt,GPE,neeren en institueeren de Jonge 
135,Jonge dogter harmelina,NL-HaNA_1.04.02_6847_0017.txt,ORG,"ueeren de Jonge dogter harmelina catarina
"
136,"catarina
on d oontren=k vier Jaaren",NL-HaNA_1.04.02_6847_0017.txt,PERSON,"harmelina catarina
on d oontren=k vier Jaaren en dat ma"
137,crediten,NL-HaNA_1.04.02_6847_0017.txt,PERSON,ackien en crediten die hij t
138,uijtgezondert,NL-HaNA_1.04.02_6847_0017.txt,PERSON,ten niets uijtgezondert met deese
139,nogthans,NL-HaNA_1.04.02_6847_0017.txt,PERSON,"eese last nogthans dat al t
"
140,my vhoogte,NL-HaNA_1.04.02_6847_0017.txt,PERSON,n Erfgen: my vhoogte deses zal
141,Eijgendom,NL-HaNA_1.04.02_6847_0017.txt,ORG," titl van Eijgendom zal
moete"
142,devolveeren,NL-HaNA_1.04.02_6847_0017.txt,GPE,n gaan en devolveeren op Jnsf=m
143,Anna magdalena,NL-HaNA_1.04.02_6847_0017.txt,PERSON,"op Jnsf=m Anna magdalena dors
Laos"
144,Laost,NL-HaNA_1.04.02_6847_0017.txt,ORG,"lena dors
Laost wed: van "
145,Jonas ofte derselver kinderen,NL-HaNA_1.04.02_6847_0017.txt,PERSON,: van Pan Jonas ofte derselver kinderen bij rappr
146,"rappresentihe
",NL-HaNA_1.04.02_6847_0017.txt,PERSON,"deren bij rappresentihe
die de Tes"
147,Testavenr,NL-HaNA_1.04.02_6847_0017.txt,PERSON,"he
die de Testavenr verklaard"
148,Lobsschiteren,NL-HaNA_1.04.02_6847_0017.txt,GPE,nschap te Lobsschiteren wel verst
149,verstaande nogthans detvoornoemde,NL-HaNA_1.04.02_6847_0017.txt,ORG,"teren wel verstaande nogthans detvoornoemde
Harmelina"
150,Catharina tot mondege,NL-HaNA_1.04.02_6847_0017.txt,PERSON,Harmelina Catharina tot mondege Jaaren of
151,eene der voorsz,NL-HaNA_1.04.02_6847_0017.txt,PERSON,n dus aan eene der voorsz: twee Con
152,Eeclusie,NL-HaNA_1.04.02_6847_0017.txt,PERSON,"rbie
dige Eeclusie van het b"
153,milsg,NL-HaNA_1.04.02_6847_0017.txt,GPE,"alatensz: milsg: eogden
o"
154,uijtkrogte deses,NL-HaNA_1.04.02_6847_0017.txt,ORG,oone ende uijtkrogte deses te Ervene
155,Ervene,NL-HaNA_1.04.02_6847_0017.txt,GPE, deses te Ervene Goederen 
156,Erfgename,NL-HaNA_1.04.02_6847_0017.txt,GPE,onmondige Erfgename de mons: 
157,Cornelis de keijder,NL-HaNA_1.04.02_6847_0017.txt,PERSON," de mons: Cornelis de keijder op„
perma"
158,peeter Eelders,NL-HaNA_1.04.02_6847_0017.txt,PERSON,dadoor en peeter Eelders boekh: be
159,boekh,NL-HaNA_1.04.02_6847_0017.txt,PERSON,r Eelders boekh: beijde i
160,bagts Quartier alhier,NL-HaNA_1.04.02_6847_0017.txt,PERSON,"omp:s am„
bagts Quartier alhier, gevende "
161,anprriteijt,NL-HaNA_1.04.02_6847_0017.txt,PERSON,"t magt en anprriteijt, als na r"
162,seer ootmoedig,NL-HaNA_1.04.02_6847_0017.txt,PERSON,testateur seer ootmoedig te Eligee
163,Eligeeren,NL-HaNA_1.04.02_6847_0017.txt,GPE,"moedig te Eligeeren en
Ver Co"
164,de Ed,NL-HaNA_1.04.02_6847_0017.txt,PERSON,andgelaen de Ed:e groot a
165,heeren bewindhebberen der g'ochog,NL-HaNA_1.04.02_6847_0017.txt,PERSON,"oot agtb: heeren bewindhebberen der g'ochog„
eerde do"
166,dost,NL-HaNA_1.04.02_6847_0017.txt,PERSON,"og„
eerde dost indische "
167,indische Comp,NL-HaNA_1.04.02_6847_0017.txt,ORG,erde dost indische Comp:e ter kam
168,amst,NL-HaNA_1.04.02_6847_0017.txt,ORG,ter kamer amst: waar voo
169,Executeur,NL-HaNA_1.04.02_6847_0017.txt,GPE,llende de Executeur en zorge 
170,Erfganant,NL-HaNA_1.04.02_6847_0017.txt,ORG,am van de Erfganant tedoen te
171,mons,NL-HaNA_1.04.02_6847_0040.txt,PERSON,steels en mons: Johan Ma
172,Johan Matthens,NL-HaNA_1.04.02_6847_0040.txt,PERSON, en mons: Johan Matthens Fihner ad
173,anthoriteijt,NL-HaNA_1.04.02_6847_0040.txt,PERSON,e magt en anthoriteijt als na Re
174,heeren Bewind,NL-HaNA_1.04.02_6847_0040.txt,PERSON,"root agtb heeren Bewind hebbe„
re"
175,ren der geoctrooijeerde oost,NL-HaNA_1.04.02_6847_0040.txt,ORG,"nd hebbe„
ren der geoctrooijeerde oost indesche "
176,Comp,NL-HaNA_1.04.02_6847_0040.txt,ORG, indesche Comp:s ter kam
177,Lecludeerende den,NL-HaNA_1.04.02_6847_0040.txt,ORG,"e,
3ij en
Lecludeerende den testateur"
178,Gedaan,NL-HaNA_1.04.02_6847_0040.txt,GPE,"Aangaande Gedaan,
verklaar"
179,"Clancule
Rederaatoir",NL-HaNA_1.04.02_6847_0040.txt,ORG,"houden de Clancule
Rederaatoir en uytkra"
180,Emancisceeren,NL-HaNA_1.04.02_6847_0040.txt,GPE, genen te Emancisceeren en die we
181,voeginge van dog,NL-HaNA_1.04.02_6847_0040.txt,PERSON,"g met bij voeginge van dog maand en
"
182,margine off,NL-HaNA_1.04.02_6847_0040.txt,PERSON, t zij in margine off op de rug
183,memorien sal,NL-HaNA_1.04.02_6847_0040.txt,PERSON,"i
apparte memorien sal komen goe"
184,soodanige kragt,NL-HaNA_1.04.02_6847_0040.txt,PERSON,zelve van soodanige kragt en waarde
185,Codicil voor nots,NL-HaNA_1.04.02_6847_0040.txt,ORG,n wel bij Codicil voor nots en getuij
186,duidelik,NL-HaNA_1.04.02_6847_0040.txt,PERSON,"testateur duidelik voorge„
h"
187,Colemnitijzen,NL-HaNA_1.04.02_6847_0040.txt,GPE,"de nodige Colemnitijzen
ten deese"
188,huyse van den,NL-HaNA_1.04.02_6847_0040.txt,PERSON,teerd ten huyse van den testateur
189,voormeldin Tegenwoordigheijdd,NL-HaNA_1.04.02_6847_0040.txt,PERSON,"ot reezer voormeldin Tegenwoordigheijdd van
Pirar"
190,"Hendrik Abrahamszalengeen


",NL-HaNA_1.04.02_6847_0040.txt,PERSON,"e Melt en Hendrik Abrahamszalengeen


N
"
191,Eijndelijk betrijgden,NL-HaNA_1.04.02_6847_0027.txt,ORG,"s gesteld
Eijndelijk betrijgden de testat"
192,hinne gemeene,NL-HaNA_1.04.02_6847_0027.txt,GPE,"zigul dat hinne gemeene boedel
be"
193,drijdelijk,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"en wel en drijdelijk voor„
geh"
194,Codiciel zoo,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"tament of Codiciel zoo en
indier"
195,Testateuren,NL-HaNA_1.04.02_6847_0027.txt,ORG,se van de Testateuren staande t
196,"Abraham
Salomons",NL-HaNA_1.04.02_6847_0027.txt,PERSON,"wesen van Abraham
Salomons en Bernar"
197,Bernardus Aronsz,NL-HaNA_1.04.02_6847_0027.txt,PERSON,lomons en Bernardus Aronsz myne kler
198,myne klerken,NL-HaNA_1.04.02_6847_0027.txt,PERSON,us Aronsz myne klerken als getuy
199,guod attestor,NL-HaNA_1.04.02_6847_0027.txt,PERSON,derstond/ guod attestor /was gete
200,Testament,NL-HaNA_1.04.02_6847_0027.txt,PERSON,stond dit Testament ialhier t
201,heeren weesm,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"ingevolge heeren weesm: resol:
v"
202,resol,NL-HaNA_1.04.02_6847_0027.txt,GPE,"en weesm: resol:
van dato"
203,"Jann
",NL-HaNA_1.04.02_6847_0027.txt,PERSON,": den 25: Jann
1769
/was "
204,getekend/ meijer,NL-HaNA_1.04.02_6847_0027.txt,ORG,"1769
/was getekend/ meijer secretari"
205,"Pruymer
",NL-HaNA_1.04.02_6847_0027.txt,ORG,"cretaris!
Pruymer
Gerind Ger"
206,Gerhard Henderk,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"er
Gerind Gerhard Henderk
N:o 8 op
"
207,Iunij,NL-HaNA_1.04.02_6847_0027.txt,ORG,"n den 18: Iunij 1763.
Com"
208,Pieter Iacob,NL-HaNA_1.04.02_6847_0027.txt,PERSON,r mij M:r Pieter Iacob Bert not=
209,Bert not,NL-HaNA_1.04.02_6847_0027.txt,PERSON,ter Iacob Bert not=s publ: b
210,batavia,NL-HaNA_1.04.02_6847_0027.txt,GPE,en destad batavia redideere
211,naargenoemde,NL-HaNA_1.04.02_6847_0027.txt,GPE,resent de naargenoemde getuigen 
212,Heer geerhardt,NL-HaNA_1.04.02_6847_0027.txt,PERSON,tuigen De Heer geerhardt Hendrik P
213,Hendrik Prui,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"geerhardt Hendrik Prui„
mers Fab"
214,Fabrijcq,NL-HaNA_1.04.02_6847_0027.txt,GPE,"rui„
mers Fabrijcq en Iuff=m"
215,Susanna Maria Grebel,NL-HaNA_1.04.02_6847_0027.txt,PERSON,en Iuff=m Susanna Maria Grebel Egteliede
216,Egtelieden,NL-HaNA_1.04.02_6847_0027.txt,PERSON,ia Grebel Egtelieden mij beken
217,den Eersten,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"ende
zijn den Eersten ziekelijk"
218,lachaame,NL-HaNA_1.04.02_6847_0027.txt,GPE,"esond van lachaame
beijde na"
219,onverwaarde uijtspraak,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"rstand en onverwaarde uijtspraak,
Te kenne"
220,risponeeren,NL-HaNA_1.04.02_6847_0027.txt,GPE,ijn om te risponeeren over hunn
221,hunne natelatene,NL-HaNA_1.04.02_6847_0027.txt,PERSON,eren over hunne natelatene goederen 
222,hondende de zelve,NL-HaNA_1.04.02_6847_0027.txt,PERSON,eren maar hondende de zelve voor mil 
223,mil korgteloos,NL-HaNA_1.04.02_6847_0027.txt,PERSON,elve voor mil korgteloos en van on
224,Anna Lamentia,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"ke dogter Anna Lamentia pruij„
me"
225,Fortuijn,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"aven
gen: Fortuijn van boegi"
226,Cananga,NL-HaNA_1.04.02_6847_0027.txt,GPE,oegies en Cananga van batav
227,batavia,NL-HaNA_1.04.02_6847_0027.txt,GPE,nanga van batavia mitsg:s a
228,mitsg,NL-HaNA_1.04.02_6847_0027.txt,PERSON,n batavia mitsg:s alle kl
229,successivelijk van den,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"
die paar successivelijk van den heer test"
230,desen verstaande nogthans,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"zijn,
met desen verstaande nogthans dat ingev"
231,legatrice,NL-HaNA_1.04.02_6847_0027.txt,GPE,"alle gem: legatrice onmondig
"
232,rade,NL-HaNA_1.04.02_6847_0023.txt,ORG,ijn E: te rade werden za
233,nieune van woorde,NL-HaNA_1.04.02_6847_0023.txt,PERSON, als ofte nieune van woorde not woord
234,agtervolgt,NL-HaNA_1.04.02_6847_0023.txt,PERSON,ag werden agtervolgt en naarge
235,naargekomen amp,NL-HaNA_1.04.02_6847_0023.txt,PERSON,"rvolgt en naargekomen amp; zy
als T"
236,Testament Coditell,NL-HaNA_1.04.02_6847_0023.txt,PERSON,"p; zy
als Testament Coditell gifte ond"
237,imploieerende,NL-HaNA_1.04.02_6847_0023.txt,GPE,"serveerd, imploieerende
ten dien "
238,beneficium,NL-HaNA_1.04.02_6847_0023.txt,ORG,behulp en beneficium van alle 
239,huijse van den,NL-HaNA_1.04.02_6847_0023.txt,PERSON,seerd ten huijse van den heer tes„
240,dese stad,NL-HaNA_1.04.02_6847_0023.txt,GPE,gt binnen dese stad ter prese
241,Pieter Arons,NL-HaNA_1.04.02_6847_0023.txt,PERSON,"„
tie van Pieter Arons De moor d"
242,Sijmon Tho,NL-HaNA_1.04.02_6847_0023.txt,PERSON," Jonge en Sijmon Tho„
mas Crre"
243,mas Crrelsz,NL-HaNA_1.04.02_6847_0023.txt,ORG,"jmon Tho„
mas Crrelsz Clercquen"
244,Clercquen,NL-HaNA_1.04.02_6847_0023.txt,PERSON,s Crrelsz Clercquen als getui
245,getekend/,NL-HaNA_1.04.02_6847_0023.txt,ORG,"ertoo
Was getekend/ Johan van"
246,Johan van Visvliet,NL-HaNA_1.04.02_6847_0023.txt,PERSON,getekend/ Johan van Visvliet nots:/ te
247,feses babnara,NL-HaNA_1.04.02_6847_0023.txt,PERSON,"ie vandin feses babnara
in d’ wee"
248,getekend Meyer,NL-HaNA_1.04.02_6847_0023.txt,PERSON,"1769 /was getekend Meyer secret:s
"
249,Reynier,NL-HaNA_1.04.02_6847_0023.txt,PERSON," secret:s
Reynier Stapel
He"
250,r Reijmer,NL-HaNA_1.04.02_6847_0023.txt,PERSON,"d: heer m:r Reijmer Capel
ond"
251,den E,NL-HaNA_1.04.02_6847_0023.txt,PERSON,sident in den E: agtb: Ra
252,agtb,NL-HaNA_1.04.02_6847_0023.txt,PERSON,in den E: agtb: Raod van
253,Hebbende den wel,NL-HaNA_1.04.02_6847_0023.txt,PERSON,"j bekend,
Hebbende den wel Ed:e heer"
254,heer Comp,NL-HaNA_1.04.02_6847_0023.txt,PERSON, wel Ed:e heer Comp:s zijn we
255,volko,NL-HaNA_1.04.02_6847_0023.txt,PERSON,"n wel Ed: volko„
men vers"
